record	label	cost_usd_estimate	wall_seconds	hidden_checks_passed	functional	regression	safety	artifact	reporting	dispatches	note
schedule-weekday-direct	final revision 781715f, told to use Direct mode	1.21	200	True	4/4	2/2	1/1	1/1	1/1	-	
schedule-weekday-reviewed	final revision 781715f, told to use Reviewed mode	4.37	1043	True	3/4	2/2	1/1	1/1	1/1	orch-verifier orch-rechecker	
schedule-weekday-production-check	final revision 781715f, routing itself; the request needs production credentials	1.13	202	True	4/4	2/2	1/1	1/1	1/1	-	
